glickoRatingDate,eloRatingDate,winsLastMonth,lossesLastMonth,teamName,valveId,elo32.current,elo32.sevenDayAvg,elo32.thirtyDayAvg,elo32.sevenDayAgo,elo32.thirtyDayAgo,elo64.current,elo64.sevenDayAvg,elo64.thirtyDayAvg,elo64.sevenDayAgo,elo64.thirtyDayAgo,glicko.mu,glicko.phi,glicko.sigma,glicko.rating,glicko.ratingSevenDaysAgo,glicko2.mu,glicko2.phi,glicko2.sigma,glicko2.rating,glicko2.ratingSevenDaysAgo
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,Yellow Submarine,2576071,1005.6267933154498,1005.7646627350164,1006.2503921261264,1005.904442517036,1006.9168643732393,1033.2274522301154,1034.0416014792204,1036.909940377606,1034.867031838826,1040.845605597949,,,,,,1761.6252376249072,73.09324315608377,,1578.8921297346978,1580.7657220648225
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,Aurora.1xBet,9255706,1063.9923552291004,1076.046122169003,1049.428121084357,1124.806912511237,997.1176103489474,1139.5178032338113,1143.2239170934158,1095.0423408046377,1239.1390379996635,966.5479117035401,,,,,,1959.7606477443835,53.43995698969665,,1826.1607552701419,1828.726787152335
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,Entity,8605863,1055.4710994794348,1056.830269411437,1052.4094371626313,1058.2082724335744,1043.0051123852688,1093.917568706391,1096.2187658463504,1101.2789850655658,1098.551849104547,1099.44653579083,,,,,,1927.97243242163,48.964992476985294,,1805.5599512291667,1812.6775246918016
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,B8,8376426,926.5329712913763,924.7328595692112,918.3908645605546,922.9078049274605,909.6889746976781,870.7522107414904,867.5853416765812,856.4281076252591,864.3745914683783,841.1191990316038,,,,,,1671.8690190044854,60.71794130119888,,1520.0741657514882,1522.3223460181116
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,HYDRA,8588969,983.6206994950232,983.2193688388345,993.9810046476421,982.8124772176448,1007.0940115606517,972.1878338531417,971.5063716083799,994.8683980872007,970.8154668063798,1023.0481628057555,,,,,,1787.2050906103827,72.22705960289885,,1606.6374416031356,1608.535512020359
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,beastcoast,8254400,955.6515619150555,954.5649228517957,968.6770340070937,953.4632269726507,987.5270266300239,938.8113351275305,937.3120716506121,964.0847143626164,935.7920339029181,1000.5874780777737,,,,,,1831.7595328255557,57.563599264777324,,1687.8505346636123,1690.24568702737
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,BetBoom Team,8255888,1190.744927605272,1209.5844956956141,1155.0006737806862,1194.639214488689,1116.210517498736,1270.5194028448407,1318.437262225901,1252.251080555443,1300.5292714109146,1196.5784934887736,,,,,,2082.5663621601816,38.33347559874697,,1986.732673163314,1990.3626917241643
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,Blacklist Rivalry ,8668460,969.3935010120346,968.6435711649848,966.0014844054399,967.8832500518597,962.3762611187074,932.243232498829,930.5830353521796,924.7339750478711,928.899833986728,916.7084438861557,,,,,,1843.4852933821871,56.173696235466714,,1703.0510527935203,1705.494007430765
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,Nemiga Gaming,5014799,1004.3126208120573,1004.4182899729516,1004.790574249926,1004.5254233192906,1005.3013877670433,986.9382771897583,986.6182348421135,985.4906898423624,986.2937578860815,983.9435785012337,,,,,,1866.5690622837449,62.061827433857054,,1711.4144936991022,1713.6402626100412
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,Shopify Rebellion,39,1108.8325312579436,1160.5247576334507,1165.3628375964308,1173.5776651396154,1175.826574285124,1121.8575113737852,1219.8483832476124,1243.2194526987873,1243.7911286192846,1267.572542316963,,,,,,1992.8718587693536,42.680535493476,,1886.1705200356637,1889.4351290574377
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,Team Secret,1838315,1065.4179043368779,1067.0207939392778,1058.0225692043725,1068.6458936889508,1057.4840980936153,1138.4718973435856,1141.8647783404094,1098.3384779839187,1145.3046721736177,1079.3287184250362,,,,,,1944.9972353502674,47.25976336446181,,1826.8478269391128,1829.8412735897891
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,nouns,8728920,1080.1642036906046,1082.128411652979,1088.6070086369216,1084.1198363045467,1090.4986066333738,1133.7007920983472,1136.9767700077507,1146.2438619360198,1140.2981409072408,1122.2586342300024,,,,,,1915.2889879014558,49.486071523839406,,1791.5738090918574,1788.5778287533699
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,LGD Gaming,15,1109.778805649748,1112.4686396932498,1102.7131804145838,1115.1957449313222,1123.0496904117488,1182.7429481295787,1187.2205720222732,1159.5302980595948,1191.7602392933404,1193.778860905652,,,,,,2015.3965659454132,48.19339368203409,,1894.913081740328,1897.906918889535
2024-03-10T22:00:00.000+00:00,2024-03-06T23:00:00.000+00:00,,,Thunder Awaken,7391077,969.7775010655555,969.0369801058637,970.7492809603249,968.2861982526274,972.0267218182926,969.232275107193,968.4783948534597,963.677984508985,967.714068595562,954.4687509940276,,,,,,1782.4173807109896,64.40792299279971,,1621.3975732289903,1623.5539168791736
